director,movie,new_director
Ajay Mehra,Bazaar-E-Husn,Yes
Basit Khan,Ho Jaata Hai Pyar,Yes
Anand Kumar,Delhii Heights,Yes
Anand L. Rai,Strangers,Yes
Anant Mahadevan,Victoria No. 203,No
Anwer Khan,Four Two Ka One,Yes
Dilip Sood,Chhodon Naa Yaar,Yes
Faruq Masudi,Rehguzar,Yes
Hemant Madhukar,A Flat,Yes
Ishaan Trivedi,Bachelor Party,No
Kabir Sadanand,Fugly,No
Karan Razdan,Umar,No
Khalid Mohamed,Silsiilay,No
Onir,Bas Ek Pal,Yes
Pawan Kirpalani,Darr @ The Mall,No
Shoojit Sircar,Yahaan,Yes
Tony,Hastey Hastey - Follow Your Heart,Yes
Abbas Tyrewala,Jhoota Hi Sahi,No
Abhinay Deo,Force 2,No
Anees Bazmee,Welcome Back,No
Anurag Kashyap,No Smoking,Yes
Deepa Mehta,Water,No
Kabir Khan,Kabul Express,Yes
Kabir Khan,New York,No
Kapil Sharma,I. Me Aur Main,Yes
Milan Luthria,Taxi Number 9 2 11,No
Nagesh Kukunoor,Aashayein,No
Nishikant Kamat,Force,No
Nishikant Kamat,Rocky Handsome,No
Rohit Dhawan,Dishoom,No
Sanjay F. Gupta,Karam,Yes
Sanjay Gupta,Shootout At Wadala,No
Shoojit Sircar,Madras Cafe,No
Vivek Agnihotri,Dhan Dhana Dhan Goal,No
B.R. Ishara,Mein Bikaaoo On Sale,No
Ishaan Trivedi,7 1/2 Phere,Yes
Onir,I Am,No
Rajiv S. Ruia,Main Hoon Krishna,No
Tilak Chutani,Sardi Mein Garmi,No
Nabh Kumar Raju,Topless,No
Mohan Sharma,26th July At Barista,No
Manish,Main Tere Ishq Mein,Yes
Shakir Shaikh,Mudrank - The Stamp,Yes
Siddharth Malhotra,We Are Family,Yes
R. Gautam,Dhund Lenge Manzil Hum,Yes
Anurag Kashyap,That Girl in Yellow Boots,No
Shonali Bose,Margarita With A Straw,No
Sandeep Malani,Janleva 555,Yes
Jagdish Sharma,Deshdrohi,No
Singeetam Srinivasa Rao,Mumbai Xpress,Yes
A. Chitransh,Phaans - Ek Jasoos Ki Kahani,No
Hansal Mehta,Simran,No
Sai Kabir,Revolver Rani,Yes
Vikas Bahl,Queen,Yes
Vishwas Patil,Rajjo,Yes
Ranjan Shandilya,Myoho,Yes
Deepak Ramsay,Aatma,No
Sharad Chaudhary,Nishaan - The Mark,Yes
Abbas - Mustan,Kis Kisko Pyaar Karoon,No
Rajeev Dhingra,Firangi,Yes
Bhushan Patel,Alone,No
Paul - Venu,Aakhri Deal,Yes
J.H. Nakra,Love Possible,Yes
Nitin Tiwari,Rajula - A Tale From The Himalayas,Yes
Muazzam Beg,Sadda Adda,Yes
Vivek Agnihotri,Zid,No
Madhur Bhandarkar,Heroine,No
R. Balki,Ki & Ka,No
Shakun Batra,Ek Main Aur Ekk Tu,Yes
Vikram Bhatt,Dangerous Ishhq,No
Shyam Ramsay,Bachao Inside Bhoot Hai,No
Ashwini Dhir,Guest In London,No
Luv Ranjan,Pyaar Ka Punchnama,Yes
Luv Ranjan,Akaash Vani,No
Luv Ranjan,Pyaar Ka Punchnama 2,No
Rajesh Mittal,Jhansi Ki Rani Laxmibai,No
Faroogh Siddiqui,Revati,No
Jagdish Rajpurohit,Bumboo,Yes
Ankush Bhatt,Bhindi Bazaar Inc,Yes
Anurag Kashyap,Black Friday,Yes
Anurag Kashyap,Gulaal,No
Kanika Verma,Dansh,Yes
Manish Gupta,The Stoneman Murders,Yes
Manish Gupta,Rahasya,No
Nishikant Kamat,Mumbai Meri Jaan,Yes
Pankaj Advani,Sankat City,Yes
Rakesh Mehta,Life Ki Toh Lag Gayi,Yes
Suhail Tatari,Ankur Arora Murder Case,No
Yunus Sajawal,Benny And Babloo,Yes
Suresh Jain,Main Hoon Basanti Tangewali,No
Ashok Mehta,Ladies First,No
Mahesh D. Singh,It Can Be Dangerous - City Of Dreams,Yes
Partho Ghosh,Sitam,No
Rajiv S. Ruia,Jalwa - Fun In Love,No
Gajendra Ahire,Just 47 - Hum Bhi Insaan Hai,Yes
Sanjiv Jaiswal,Shudra - The Rising,Yes
Pammi Somal,Mummy Punjabi,Yes
Shona Urvashi,Saas Bahu Aur Sensex,No
Madhur Bhandarkar,Indu Sarkar,No
Vishal Inamdar,It's Breaking News,Yes
Umesh Gandhi,Mumbai 118,Yes
Alankrita Shrivastava,Lipstick Under My Burkha,No
Madhur Bhandarkar,Page 3,No
Manu Rewal,Chai Pani Etc...,Yes
Shonali Bose,Amu,Yes
Jairaj Padmanabhan,U Bomsi N Me,Yes
Manoj,Love King Murder,Yes
S. Soni,Aur Pappu Pass Ho Gaya,Yes
Kumaar Aadarsh,Shringaar,Yes
Sanjay Khandelwal,Rooh,No
Prabhu Dayal Meena,Gailya - The Ghost Of Night,Yes
Milan Luthria,Hattrick,No
Sameer Sharma,Luv Shuv Tey Chicken Khurana,Yes
Tigmanshu Dhulia,Raag Desh,No
Krishna D.K,99,Yes
Madhur Bhandarkar,Traffic Signal,No
Mohit Suri,Kalyug,Yes
Rohit Jugraj,Superstar,Yes
Umesh Shukla,Dhoondte Reh Jaoge,Yes
Vishal Mahadkar,Blood Money,Yes
Babu Bhatt,Mumbai Shooters,Yes
Kailash Dangi,Titar Fanda - A Death Trap,Yes
Ashok Kohli,Rajdhani Express,Yes
Prashant Nair,Delhi In A Day,Yes
Tarun Madan Chopra,W,Yes
Santosh Sivan,Before The Rains,No
Rajiv Babbar,Kasak,No
Luke Kenny,Rise Of The Zombie,Yes
Raj Kanwar,Sadiyaan,No
Anil Balani,Rakhtbeej,Yes
Kallol Sen,Kabhi Socha Bhi Na Tha,Yes
Anil Mehta,Aaja Nachle,Yes
Soumik Sen,Gulaab Gang,Yes
Raj N. Sippy,Jimmy,No
Raj N. Sippy,The Murderer,No
Vikram Bhatt,Haunted 3D,No
Simran,Be Parda,Yes
Tigmanshu Dhulia,Saheb Biwi Aur Gangster,No
Tigmanshu Dhulia,Saheb Biwi Aur Gangster Returns,No
Amar Butala,Kudiyon Ka Hai Zamana,Yes
Junaid Memon,The Film,Yes
Karan Razdan,Souten - The Other Woman,No
Govind Menon,Bachke Rehna Re Baba,No
Jennifer Chambers Lynch,Hisss,Yes
K.C. Bokadia,Dirty Politics,No
Sachin Kamlakar Khot,Ugly Aur Pagli,Yes
Sanjay Chhel,Maan Gaye Mughall-E-Azam,No
Bappaditya Roy,Sau Jhooth Ek Sach,Yes
Pradeep Pandit,Ek Pyaar Aisa Bhi,Yes
Kukku Batra,Vishwas - The Power Of Faith,No
Chandrakant Kulkarni,Meerabai Not Out,Yes
Jitender Pawar,Trip To Bhangarh,Yes
Abhishek Sharma,Tere Bin Laden - Dead Or Alive,No
Saurabh Varma,Mickey Virus,Yes
Harryy W. Fernaandes,Anjaane - The Unknown,Yes
Jay Prakash,Chaahat Ek Nasha...,No
K. Ajay Kumar,Tulsi,Yes
Raajatesh Nayar,Sirf....,Yes
Manoj Amarnani,Life Is Beautiful!,Yes
Ajay Varma,Dus Tola,Yes
Anand Kumar,Jugaad,No
Anurag Kashyap,Gangs Of Wasseypur 1,No
Bedabrata Pain,Chittagong,Yes
Deepak Tijori,Fareb,No
Ganesh Acharya,Swami,Yes
Hansal Mehta,Aligarh,No
Maqbool Khan,Lanka,Yes
Rajesh Pillai,Traffic,Yes
Kesar Matharu,The Dirty Relation,No
S. Latif,Chaahat Ek Ehsaas,Yes
Hasnain Hyderabadwala,Ya Rab,Yes
Iqbal Durrani,Hum Tum Dushman Dushman,No
Mashhoor Amrohi,Hum Sey Hai Jahaan,Yes
Irfan Kamal,Thanks Maa,Yes
Ajay Yadav,Bhadaas,No
Faisal Saif,5 Ghantey Mein 5 Crore,No
Aditya Om,Bad Friend,No
Afzal Ahmed,Mashooka,No
Ashok Nanda,Hum Tum Aur Mom,Yes
Chandra Pemmaraju,Love Lies And Seeta,Yes
Shakeel Noorani,Tezaab - The Acid of Love,No
Sunil Agnihotri,Balwinder Singh... Famous Ho Gaya,No
Aron Govil,U R My Jaan,Yes
Devendra Dua,Husn Bewafa,No
K. Bhushan,Karo Na... Pyaar,No
Milind Ukey,Humne Jeena Seekh Liya,No
Sanjay Khanna,Katputtli,No
Subhash Ghai,Kaanchi,No
Ashim Samanta,Don Muthu Swami,No
Ashu Trikha,Baabarr,No
Ashu Trikha,Zindagi Tere Naam,No
Ashu Trikha,Enemmy,No
B. Subhash,Classic Dance Of Love,No
Girish Girija Joshi,Zor Lagaa Ke... Haiya!,Yes
Prakash Kapoor,Insaaf Ki Jung,Yes
Rohit Nayyar,Sun Zarra.....,No
Sanjay Sharma,Qatal-E-Aam,No
Ujjwal Singh,Chal Chalein,Yes
Arshad Yusuf Pathan,Unforgettable,Yes
Irfan Khan,Bullet Ek Dhamaka,Yes
Rajan Khosa,Gattu,Yes
Akshay Shere,The Film Emotional Atyachar,Yes
Ram Gopal Verma,Shiva,No
Gaurav Panjwani,Second Marriage Dot Com,Yes
Suresh Kumar,Dimaag Ki Dahi,Yes
Aman Mihani,Mumbai Mast Kallander,Yes
Akram Shaikh,Love In Japan,Yes
Nagesh Kukunoor,Lakshmi,No
Rakesh Parmar,Bobby - Love & Lust,Yes
Sandeep Kumar,Ek Hi Bhool,No
Sumit Roy King,Ek Chatur Naar,Yes
Amol Palekar,The Quest,No
Raja Unnithan,Hello Zindagi,Yes
Mukesh R.K. Chouksey,Young - The Powerful Blood,Yes
Mukesh R.K. Chouksey,Tantiya Bheel,No
Vedant Vishnoi,Chutki Bajaa Ke,Yes
Swapnil Koche,Emptiness Tere Bina,Yes
Sachin P. Karande,Payback,Yes
Anees Javed,Abhi To Raat Hai,Yes
Abbas - Mustan,Machine,No
Srinivasa Anjanappa,Rang-E-Ishq,Yes
Pooja Bhatt,Dhokha,No
Yusuf Ali Khan,The Untold Story Aahinsa,Yes
Mazhar Kamran,Mohandas,Yes
Aejaz Gulab,Ab Tak Chhappan 2,Yes
Goutam Ghose,Yatra,No
Kabir Sadanand,Tum Milo Toh Sahi,No
Ram Gopal Verma,The Attacks Of 26/11,No
Tigmanshu Dhulia,Shagird,No
K.P. Sasi,Ek Alag Mausam,Yes
Pradeep Kumawat,Maharana Pratap - The First Freedom Fighter,Yes
Hirdesh Kamble,Pranali - The Tradition,Yes
Avantika Hari,Land Gold Women,Yes
Rohit Nayyar,Shadow,No
Abhishek Chaubey,Ishqiya,Yes
Abhishek Chaubey,Dedh Ishqiya,No
Anu Menon,Waiting,No
Aparnaa Singh,Irada,Yes
Hriday Shetty,Chaalis Chauraasi,No
Kabeer Kaushik,Maximum,No
Makarand Deshpande,Sona Spa,No
Manish Shrivastava,Charlie Kay Chakkar Mein,No
Nandita Das,Firaaq,Yes
Neeraj Pandey,A Wednesday!,Yes
Rahul Dholakia,Parzania,No
Raja Krishna Menon,Barah Aana,No
Shivam Nair,Maharathi,No
Shrey Srivastava,Men Not Allowed,No
Shakeel S. Saifee,Anjunaa Beach,No
Shiraz Henry,The Dark Secrets Of Tonhi,Yes
Zaid Ali Khan,Khwaabb,Yes
Amit Masurkar,Sulemani Keeda,Yes
Sunil Pal,Bhavnao Ko Samjho,Yes
Amit Kumar,Monsoon Shootout,Yes
Anurag Kashyap,Gangs Of Wasseypur 2,No
Anurag Kashyap,Raman Raghav 2.0,No
Ketan Mehta,Manjhi - The Mountain Man,No
Kushan Nandy,Babumoshai Bandookbaaz,No
Shlok Sharma,Haraamkhor,Yes
Sohail Khan,Freaky Ali,No
Ashu Trikha,Sheesha,No
Ashwini Chaudhary,Siskiyaan,No
Rakesh Ranjan Kumar,Gandhi To Hitler,Yes
Anubhav Sinha,Tum Bin 2,No
Jehangir Surti,Aa Dekhen Zara,Yes
Madhur Bhandarkar,Jail,No
Pradeep Sarkar,Lafangey Parindey,No
Shantanu Ray Chhibber,3G,Yes
Sriram Raghavan,Johnny Gaddaar,No
Susi Ganesh,Shortcut Romeo,Yes
Shailendra Singh Rajput,Bipasha - The Black Beauty,Yes
E. Niwas,My Name is Anthony Gonsalves,No
Om Verma,Jaisi Karni Waisi Bharni,Yes
Ganesh Acharya,Angel,No
Ejaz Ahmed,Yeh Metro Zindagi,No
Monish Kaushal,Ek Thee Sanam,Yes
Shailesh Verma,Badlapur Boys,Yes
Shashi Sudigala,Cycle Kick,Yes
Amit Vats,Titoo MBA,No
Manoj Palrecha,Wah Re Ye Duniya,Yes
Nandu Chaudhary,Shraddha Shakti Jai Ambe Maa,Yes
Ujjwal Thengdi,In The Name Of.. Tai - Tai Ke Naam,Yes
Ram Gopal Verma,Agyaat,No
Bhabani Prasad,Love U Crazy Girl,No
Ajai Sinha,Khap,No
Jasbir Bhaati,Uvaa,Yes
Rahul Aggarwal,Na Ghar Ke Na Ghaat Ke,Yes
Rajan Kothari,Panga Naa Lo,Yes
Sumeet Chawla,Khallas,Yes
Vishal Bhandari,The Hangman,Yes
Anusha Rizvi,Peepli [Live],Yes
Shareeph Mansuri Saranwala,Munna Mange Memsaab,Yes
Varun Middha,Ebn-E-Batuta,Yes
Anshuman G. Barua,Shivam,Yes
Bhavna Talwar,Dharm,Yes
Rajiv Mehra,Chala Mussaddi - Office Office,No
Vishal Bhardwaj,The Blue Umbrella,No
Vivek Agnihotri,Hate Story,No
Braj Bhushan,M3 - Midsummer Midnight Mumbai,Yes
Amit Rai,Road  To Sangam,Yes
Fuwad Khan,Dharam Sankat Mein,Yes
Naseeruddin Shah,Yun Hota Toh Kya Hota,Yes
Rahul Rawail,Buddha Mar Gaya,No
Paritosh Goswami,Kabhi Yun Bhi Toh Ho...,Yes
Yashwant Ingavale,Vighnaharta Shree Siddhivinayak,Yes
Imtiaaz J. Khan,Husn - Love & Betrayal,Yes
Amol Gupte,Stanley Ka Dabba,Yes
Vishal Aryan Singh,United Six,Yes
Pravin Dabbas,Sahi Dhandhe Galat Bande,Yes
Piyush Jha,Sikandar,No
Vikram Bhatt,Love Games,No
Partho Ghosh,Chetna - The Excitement,No
Sunjay S. Zaveri,Fun... Can Be Dangerous Sometimes,Yes
T.L.V. Prasad,Mazaa Mazaa...,No
Vicky G.,Laila - A Mystery,Yes
Santosh Badal,Hey Bholenath,Yes
Salim Raza,Haunted Child,No
Ravi Basera,Khandala House,Yes
Amit Saxena,Nasha,No
S.S. Rajamouli,Bahubali - The Beginning,Yes
S.S. Rajamouli,Bahubali 2 - The Conclusion,No
A.L. Vijay,Tutak Tutak Tutiya,Yes
Remo D'Souza,ABCD - Any Body Can Dance,No
Prajakt Rebeloma,Last Benchers,Yes
Ravi Pun,Yeh Pal Ho Na Ho... Kal,Yes
Vicky Ranawat,Qayamat Hi Qayamat,No
Praveen Bhardwaj,Mr. Singh Mrs. Mehta,Yes
Gautham Menon,Ekk Deewana Tha,No
Manish Tiwary,Issaq,No
Raghav Dar,My Friend Pinto,Yes
Nila Madhab Panda,Jalpari - The Desert Mermaid,No
Kamal Nathani,With Luv... Tumhaara,Yes
Deepa Mehta,Videsh,No
Prem Soni,Ishkq In Paris,No
Sudeep D. Mukherjee,Needar - The Fearless,Yes
Dashrath Kacharawat,Om Shanti - Fight For Peace,Yes
Makarand Deshpande,Shahrukh Bola Kubsoorat Hai Tu,Yes
Dhirendra Agarwal,Mere Gharib Nawaz,No
Om Prakash Sharma,Sunsaan Mahal,Yes
Ashutosh Gowariker,What's Your Raashee,No
Jugal Hansraj,Pyaar Impossible!,No
Madhur Bhandarkar,Fashion,No
Omung Kumar,Mary Kom,Yes
Prakash Jha,Jai Gangaajal,No
Vishal Bhardwaj,7 Khoon Maaf,No
Deepak Ramsay,Koi Mere Dil Mein Hai,Yes
Ujjwal Chatterjee,Utthaan,No
Divya Khosla,Sanam Re,No
Mrighdeep Singh Lamba,Fukrey,No
Mrighdeep Singh Lamba,Fukrey Returns,No
Supavitra Babul,Bittoo Boss,Yes
Umesh Bist,O Teri,Yes
Vivek Agnihotri,Junooniyat,No
Ram Gopal Verma,Satya 2,No
Alankrita Shrivastava,Turning 30!!!,Yes
Girish Malik,Jal,Yes
Harsh Kohli,Kaun Ho Sakta Hai?,Yes
Shawn Arranha,Hide & Seek,Yes
Santosh Sivan,Tahaan,No
Abhishek Bindal,Meinu Ek Ladki Chaahiye,Yes
Pushkar Jog,Huff! It's Too Much,Yes
Anand L. Rai,Tanu Weds Manu,No
Anand L. Rai,Tanu Weds Manu Returns,No
Ashwini Chaudhary,Jodi Breakers,No
Sanjay Dayma,Ramji Londonwaley,Yes
James Erskine,Sachin - A Billion Dreams,Yes
Vikram K. Kumar,13B,Yes
Deepak Shivdasani,Julie 2,No
Leena Yadav,Parched,No
Pawan Kirpalani,Phobia,No
Atlanta Nagendra,Mumbhai Connection,Yes
Amjad Khan,Le Gaya Saddam,Yes
Chandramohan Nillay,Azaan - The Awakening Call,Yes
Pritish Chakraborty,Chal Pichchur Banate Hain,Yes
Kaushal Singh,Mumbai Aadhi Raat Mein,Yes
Vikrant Bhatt,Yeh Hai U Turn,Yes
Akhilesh Jaiswal,Mastram,Yes
Aparna Sen,The Japanese Wife,No
Barnali Ray Shukla,Kucch Luv Jaisa,Yes
Kittu Saluja,Chain Kulii Ki Main Kulii,Yes
Saket Chaudhary,Pyaar Ke Side Effects,Yes
Samar Khan,Shaurya,No
Vinta Nanda,White Noise,Yes
Anil Senior,Dil Kabaddi,Yes
Anurag Singh,Raqeeb,Yes
Sabal Singh Shekhawat,Fireflies,Yes
Rajiv S. Ruia,My Friend Ganesha 3,No
Aditya Kaushik,Crime Partner,Yes
P. Jitendra,Meri Aashiqui,Yes
T.L.V. Prasad,Naughty Boy,No
T.L.V. Prasad,Phir Tauba Tauba,No
Trilok Chaudhary,Don't Break My Heart - Her Story,Yes
Sanjay D. Singh,Kachchi Sadak,Yes
Lakhvinder Singh,Thore - Keep Distance,Yes
Vicky Ranawat,Haseena,No
Arjun Raj,Hot Mashooka - A Dangerous Lover,Yes
Shakeel S. Saifee,Kaamguru,Yes
Shakeel S. Saifee,Mastani Bhabhi,Yes
Maneej Premnath,The Waiting Room,Yes
Sushil Rajpal,Antardwand,Yes
Gitanjali Sinha,Yeh Khula Aasman,Yes
Karan Razdan,Eight - Shani,No
P. Vinod Gupta,13 May Gulabi Nagar,Yes
Sunil Prem Vyas,Take It Easy,Yes
Jagdish Thanwar,Jai Jagdambey Maa,Yes
S.P. Muneshwar,Ashok Chakra Tribute To Real Heroes,Yes
Aziz Chhapra,Dhamkee - The Extortion,Yes
Amol Palekar,...And Once Again,No
Pryas Gupta,Siddharth - The Prisoner,Yes
Rangita Pritish Nandy,Raat Gayi Baat Gayi,Yes
Saurabh Shukla,I Am 24,No
Sharat Katariya,10ml Love,Yes
Subhash Kapoor,Phas Gaye Re Obama,Yes
Ejaz Ahmed,Who's There? Kaun Hai Wah?,Yes
Aditya Datt,Table No. 21,Yes
Anish Khanna,Ishq Actually,Yes
Bejoy Nambiar,Shaitan,Yes
Kaushik Ghatak,Samrat & Co.,No
Neerav Ghosh,Soundtrack,Yes
Raj Kumar Gupta,Aamir,Yes
Dharam Veer Billa,Tera Pati Mera Pyar,Yes
Lawrence D'Souza,Radha Ne Mala Japi Shyam Ki,No
Shashanka Ghosh,Quick Gun Murugun,No
Vicky Bhardwaj,Hair Is Falling,Yes
Akash Pandey,Do Dilon Ke Khel Mein,Yes
Ashok Tyagi,Riyasat,No
B.H. Tharun Kumar,Kaashh....Mere Hote,No
Rakesh Sawant,Wafaa,No
Gorky,Men Will Be Men,Yes
P. Subhash,Jai Mahalaxmi,Yes
Muneer Khan,Jism Farosh,No
Priyanka,Namkeen,No
Raaj Mukherjee,The Night Of The Interview,Yes
Krishna Mishra,Beehad - The Ravine,No
Arsala Qureishi,The Unforgettable,Yes
Rajesh Ganguly,Blue Oranges,Yes
Y.P. Singh,Kya Yahi Sach Hai,Yes
Ajay K. Pannanlal,Behen Hogi Teri,Yes
Amit Vats,Boyss Toh Boyss Hain,Yes
Dibakar Banerjee,Love Sex Aur Dhokha,No
Hansal Mehta,Citylights,No
Pawan Kirpalani,Ragini MMS,Yes
Ratna Sinha,Shaadi Mein Zaroor Aana,Yes
Vikramaditya Motwane,Trapped,No
Chandrakant Singh,Be Careful,No
Girish Dhamija,Phhir,Yes
V.K. Singh,Spark,No
Vikram Bhatt,1920,No
Aziz Khan,Undertrial,Yes
Chandan Arora,Main Meri Patni Aur Woh,No
Chandrakant Singh,Rama Rama Kya Hai Drama,Yes
Dilip Shukla,Hello Hum Lallann Bol Rahe Hain,No
Rajpal Yadav,Ata Pata Laapata,Yes
Salar Shaikh,Hai Golmaal In White House,Yes
T.K. Rajiv Kumar,Kushti,No
Uday Kant,Ladies Tailor,Yes
Vikram Pradhan,Masti Express,Yes
Mohit Hussein,Kaisay Kahein,Yes
Mohan Sharma,Ruslaan,No
Suhail Azmi,Ek Zakhm - The Blast,Yes
Ahmed Siddiqui,Jai Santoshi Maa,Yes
Dev Bsu,Jaadu Sa Chal Gaya,Yes
Vinod Chhabra,My Husband's Wife,No
Apoorva Lakhia,Zanjeer,No
Hridhay Sharma,Victoria House,No
Abhinav Kashyap,Besharam,No
Anurag Basu,Barfi!,No
Anurag Basu,Jagga Jasoos,No
Anurag Kashyap,Bombay Velvet,No
Ayan Mukherji,Wake Up Sid,Yes
Ayan Mukherji,Yeh Jawaani Hai Deewani,No
Imtiaz Ali,Rockstar,No
Imtiaz Ali,Tamasha,No
Karan Johar,Ae Dil Hai Mushkil,No
Nitish Tiwari,Chillar Party,Yes
Prakash Jha,Raajneeti,No
Rajkumar Santoshi,Ajab Prem Ki Ghazab Kahani,No
Sanjay Leela Bhansali,Saawariya,No
Shimit Amin,Rocket Singh: Salesman Of The Year,No
Siddharth Anand,Bachna Ae Haseeno,No
Siddharth Anand,Anjaana Anjaani,No
Vikramjit Singh,Roy,Yes
Ahishor Solomon,John Day,Yes
Arjun Chandramohan Bali,Ru-Ba-Ru,Yes
Deepak Tijori,Do Lafzon Ki Kahani,No
Imtiaz Ali,Highway,No
Madhureeta Anand,Mere Khwabon Mein Jo Aaye,Yes
Manish Gupta,Karma Aur Holi,Yes
Prawal Raman,Main Aur Charles,No
Srinivas Bhashyam,Love Khichdi,No
Syed Ahmed Afzal,Laal Rang,No
Vishesh Bhatt,Murder 3,Yes
Vishram Sawant,D,Yes
Vishram Sawant,Risk,No
Karan Johar,Bombay Talkies,No
Pradeep Sarkar,Laaga Chunari Mein Daag,No
Pradeep Sarkar,Mardaani,No
Sachin Kundalkar,Aiyyaa,Yes
Ramesh Khatkar,Toss,Yes
Vishal Mahadkar,3:00 AM,No
Aditya Chopra,Befikre,No
Ali Abbas Zafar,Gunday,No
Maneesh Sharma,Band Baaja Baaraat,Yes
Maneesh Sharma,Ladies vs Ricky Bahl,No
Sanjay Leela Bhansali,Goliyon Ki Raasleela Ram - Leela,No
Sanjay Leela Bhansali,Bajirao Mastani,No
Shaad Ali,Kill Dil,No
Vikramaditya Motwane,Lootera,No
Zoya Akhtar,Dil Dhadakne Do,No
Rajat Kapoor,Mixed Doubles,No
Rajat Kapoor,Mithya,No
Rajat Kapoor,Fatso,No
Surendra Singh Rathore,Kahani Ek Devi Ki...,Yes
Karan Gour,Kshay,Yes
Ashtar Sayed,Maatr,Yes
Sandeep Kumar,Parveen Bobby,No
Prasun Banerjee,Sweet Love,No
Ravi Kapoor,World Cupp 2011,Yes
Dinesh Avasthi,Raja Bhai Lagey Raho,No
Manish Vatsalya,Jeena Hai Toh Thok Daal,Yes
Suneet Arora,Chitkabrey,Yes
Fahim Khan,Ek Baar Aao Na,Yes
Aalima Ahmed,Khwaja Mere Khwaja,Yes
Shashi Shekhar,Ek Baar Maza Lijiye,Yes
Md. Mehatabul Haque,18.11 A Code Of Secrecy...!,Yes
Farhan Mirza,Jaana... Lets Fall In Love,Yes
Indra Kumar,Super Nani,No
Romilla Mukherjee,Detective Naani,Yes
Subodh Govil,Swarg Aashram,Yes
Kumar Raj,Tara - The Journey Of Love & Passion,No
Sandeep Solanki,Teesra Shabd,Yes
Suryaveer Singh Bhullar,Tamanchey,Yes
Manoj Sharma,Swaha,No
Milind Swamy,Jeena To Hai,No
Rakesh Chaturvedi,Bolo Raam,Yes
B.H. Tharun Kumar,Love Ke Chakkar Mein...,No
Habib Faisal,Do Dooni Chaar,Yes
Hriday Shetty,Pyaar Mein Twist,No
Ranjit Kapoor,Chintuji,Yes
Sanjay Chhel,Patel Ki Punjabi Shaadi,No
Rajesh Ram Singh,Khushboo,Yes
Shakir Khan,Ishq Ke Parindey,Yes
Rita S. Roy,Naari Teri Shakti Anokhi,Yes
E. Niwas,De Taali,No
Indra Kumar,Dhamaal,No
Indra Kumar,Grand Masti,No
Indra Kumar,Great Grand Masti,No
Karan Anshuman,Bangistan,Yes
Mandeep Kumar,Tere Naal Love Ho Gaya,Yes
Milap Zaveri,Jaane Kahan Se Aayi Hai,Yes
Priyadarshan,Malamaal Weekly,No
Sangeeth Sivan,Apna Sapna Money Money,No
Sujoy Ghosh,Aladin,No
Vivek Sharma,Kal Kissne Dekha,No
Sanoj Mishra,Mahidpur 0 K.M.,Yes
Anup Das,Life Express,Yes
Dinesh P. Bhonsle,Calapor,Yes
Tarique Khan,A Strange Love Story,No
Sonam Nair,Gippi,Yes
Apurv Bajpai,Amdavad Junction,Yes
Karan Razdan,Mittal Vs Mittal,No
Kushan Nandy,Hum Dum,No
Ravi Bhatia,2 Little Indians,Yes
Anurag Kashyap,Ugly,No
Vikramaditya Motwane,Udaan,Yes
Anjan Dutt,Chowrasta - Crossroads Of Love,No
Amit Kasaria,I Don't Luv U,Yes
Robby Grewal,MP3 - Mera Pehla Pehla Pyaar,No
Satish Kaushik,Teree Sang,No
Sudha Kongara,Saala Khadoos,Yes
Mustafa Engineer,Chand Ke Paar Chalo,No
Ankush Bhatt,Mumbai Mirror,No
Kaizad Gustad,Jackpot,No
Prashant Chadha,Aazaan,Yes
Sachin,Jaana Pehchana,No
Pramod Joshi,Chhodo Kal Ki Baatein,Yes
Shyam Benegal,Bose - The Forgotten Hero,No
Sikander Bhatia,Mobile Phone,No
Abhik Bhanu,Sab Kuch Nahin Kuch Bhi Nahin,Yes
K. Ashfaq,Siyasat - The Politics,Yes
Santosh Mishra,The Hero - Abhimanyu,Yes
Nila Madhab Panda,Babloo Happy Hai,No
Hadi Abrar,Ramaa - The Saviour,Yes
Sabir Shaikh,Double Cross - Ek Dhoka,No
Sunny Bhambhani,Love Express,Yes
Dinesh Parihar,Anna Ka Andolan,Yes
Sahil Prem,M.A.D - Mad About Dance,Yes
Abbas - Mustan,Race,No
Abbas - Mustan,Race 2,No
Homi Adajania,Being Cyrus,Yes
Homi Adajania,Cocktail,No
Imtiaz Ali,Love Aaj Kal,No
Kabir Khan,Phantom,No
Kunal Kohli,Thoda Pyaar Thoda Magic,No
Lawrence D'Souza,Sanam Teri Kasam,No
Pradeep Sarkar,Parineeta,Yes
Prakash Jha,Aarakshan,No
Raj Nidimoru,Go Goa Gone,Yes
Raj Nidimoru,Happy Ending,No
Raja Krishna Menon,Chef,No
Renzil D'Silva,Kurbaan,Yes
Sajid Khan,Humshakals,No
Siddharth Anand,Salaam Namaste,Yes
Siddharth Anand,Ta Ra Rum Pum,No
Sriram Raghavan,Agent Vinod,No
Tigmanshu Dhulia,Bullet Raja,No
Syed Rushdi Hasan,Yeh Ishq.....Nahin,Yes
Sunil Advani,Life Mein Hungama Hai,Yes
Rabi Kisku,Software Hardware Kya Yaaron,Yes
Rupender Verma,Laal Kranti,Yes
Pradeep Maru,Petrol,Yes
Abhinav Kashyap,Dabangg,Yes
Ali Abbas Zafar,Sultan,No
Ali Abbas Zafar,Tiger Zinda Hai,No
Anees Bazmee,Ready,No
Anil Sharma,Veer,No
