director,movie,new_director
Sanjay Suryavanshi,Jai Balaji Mehndipur Wale,Yes
Sanjay Khandelwal,The World Of Fashion,No
Zubair Khan,Lakeer Ka Fakeer,Yes
Madhur Bhandarkar,Calendar Girls,No
Arup Dutta,Bloody Isshq,No
Santosh Gupta,Faraar,Yes
Ashu Trikha,Alag,No
A.R. Murugadoss,Holiday - A Soldier Is Never Off Duty,No
Abhishek Sharma,The Shaukeens,No
Anees Bazmee,Welcome,No
Anees Bazmee,Singh Is Kinng,No
Anees Bazmee,Thank You,No
Anthony D'Souza,Blue,Yes
Anthony D'Souza,Boss,No
Ashish R. Mohan,Khiladi 786,Yes
Dharmesh Darshan,Bewafaa,No
Farah Khan,Tees Maar Khan,No
Farhad - Sajid,Entertainment,Yes
Farhad - Sajid,Housefull 3,No
Karan Malhotra,Brothers,No
Kompin Kemgumnird,Jumbo,Yes
Krish,Gabbar Is Back,Yes
Milan Luthria,Once Upon A Time In Mumbaai Dobaara!,No
Nagesh Kukunoor,8 x 10 Tasveer,No
Neeraj Pandey,Special 26,No
Neeraj Pandey,Baby,No
Neeraj Vora,Phir Hera Pheri,No
Nikhil Advani,Chandni Chowk To China,No
Nikhil Advani,Patiala House,No
Prabhu Deva,Rowdy Rathore,No
Prabhu Deva,Singh Is Bling,No
Priyadarshan,Garam Masala,No
Priyadarshan,Bhagam Bhag,No
Priyadarshan,Bhool Bhulaiyaa,No
Priyadarshan,De Dana Dan,No
Priyadarshan,Khatta Meetha,No
Raj Kanwar,Humko Deewana Kar Gaye,No
Rajkumar Santoshi,Family - Ties of Blood,No
Rohit Dhawan,Desi Boyz,Yes
Sabbir Khan,Kambakkht Ishq,Yes
Sajid Khan,Heyy Babyy,Yes
Sajid Khan,Housefull,No
Sajid Khan,Housefull 2,No
Shirish Kunder,Jaan-E-Mann,Yes
Shirish Kunder,Joker,No
Shree Narayan Singh,Toilet Ek Prem Katha,No
Subhash Kapoor,Jolly LLB 2,No
Suneel Darshan,Dosti - Friends Forever,No
Suneel Darshan,Mere Jeevan Saathi,No
Umesh Shukla,OMG! Oh My God,No
Vijay Krishna Acharya,Tashan,Yes
Vikram Bhatt,Deewane Huye Paagal,No
Vipul Amrutlal Shah,Waqt - The Race Against Time,No
Vipul Amrutlal Shah,Namastey London,No
Vipul Amrutlal Shah,Action Replayy,No
Akshay Akkineni,Pizza,Yes
Vidhi Kasliwal,Isi Life Mein...!,Yes
Abbas - Mustan,36 China Town,No
Abbas - Mustan,Naqaab,No
Aroop Adhikari,Dahek,Yes
Dharmesh Darshan,Aap Ki Khatir,No
Feroz Abbas Khan,Gandhi My Father,Yes
Neeraj Vora,Short Kut - The Con Is On,No
Priyadarshan,Mere Baap Pehle Aap,No
Satish Kaushik,Shaadi Se Pehle,No
Sanjay Khandelwal,Vatsayanana Kamasutra - 2,No
Geeta Tomar,Mr. Majnu,Yes
Akram Khan,Romeo Bola Pyar Ki Aisi Ki Taisi,Yes
Charudutt Acharya,Sonali Cable,Yes
Karan Darra,Khamoshiyan,Yes
Roshan Abbas,Always Kabhi Kabhi,Yes
Shuja Ali,Baat Ban Gayi,Yes
Abhishek Sharma,Tere Bin Laden,Yes
Anu Menon,London Paris New York,Yes
David Dhawan,Chasme Baddoor,No
E. Niwas,Total Siyaapa,No
Gauri Shinde,Dear Zindagi,No
Sandeep Bhat,Kkamjori - The Weakness,No
M.R. Shahjahan,Karma: Crime. Passion. Reincarnation,Yes
Shashi Shekhar,Ek Baar Dhol Bajao Na,Yes
